id,premise1,premise2,conclusion,type,new_type,type_amr_op,"Remarks (Ian)  "
695,elements that belong to alkaline earth metals are highly chemically reactive,"magnesium belongs to alkaline earth metal family , group 2 on the periodic table",magnesium is highly chemically reactive,substitution,,,
696,oxygen is a kind of matter,a vacuum has no matter in it,a vaccum has no oxygen in it,substitution,arg_substitution,,
697,a fox is a kind of animal that grows thick fur as the seasons change,some animals' fur grows thicker for staying warm as the season changes to winter,a fox grows thick fur to keep warm as the season changes to winter,further_specification_or_conjunction,further_specification,,
698,an environment may cause animals to startle,some animals jump when startled,an environment may cause animals to startle and jump,further_specification_or_conjunction,conjunction,,
699,fossil fuel is a kind of fuel,coal is a kind of fossil fuel,coal is a kind of fuel,substitution,arg_substitution,,
700,shape is a kind of physical property,breaking a bottle changes the shape of the bottle,breaking a bottle changes the physical property of the bottle,substitution,arg_substitution,,
701,solar energy rarely has a negative impact on the environment,harming something has a negative impact on / effect on that something,solar energy rarely harms the environment,substitution,verb_substitution,,
702,oak trees and maple trees have leaves of different shapes properties,classifying means grouping objects / materials by their properties,oak trees and maple trees can be classified by the shape of their leaves,substitution,verb_substitution,,
703,a cotinental land mass is a kind of object,continental land masses absorb solar energy,a continental land mass is a kind of object that absorbs solar energy,further_specification_or_conjunction,further_specification,,
704,"as the thickness of paper increases, the resistance of the object to tear will increase",a greeting card requires paper that does not tear easily,the thickness of paper should be considered when making a greeting card,inference_from_rule,,,
705,the sun is average in temperature for a star in our galaxy,the sun is average in size for a star in our galaxy,the sun is average in size and average in temperature in our galaxy,further_specification_or_conjunction,conjunction,,
706,a laser beam is shone through a glass prism,a laser beam passes through air,a laser beam passes through air as it is shone through a glass prism,further_specification_or_conjunction,further_specification,,
707,household appliances require electrical energy to function,solar cells convert solar energy into electrical energy,the energy absorbed by solar cells will be used on powering household appliances,substitution,,,
708,eye color is an inherited characteristic,green is a kind of color,green eye is an inherited characteristic,substitution,arg_substitution,,
709,a lake contains water,water is a kind of matter,water in a lake is a kind of matter,further_specification_or_conjunction,further_specification,,
710,the ice melts,melting is a kind of phase change,the ice undergoes a phase change,substitution,arg_substitution,,
711,soup is a kind of thing,a spoon is a kind of thing,soup and a spoon are kinds of things,further_specification_or_conjunction,conjunction,,
712,a balloon is a kind of container,a balloon filled with helium,a balloon filled with helium is an example of a container filled with helium,further_specification_or_conjunction,example,,
713,humans building trails by cutting down trees in a forest usually has a negative impact on that forest,the earth contains forests,humans building trails by cutting down trees has a negative impact on that forest on earth,substitution,arg_substitution,,
714,a wildfire can remove the resin that prevents seed dispersal from the cones of a jack pine tree,removing something that prevents something else causes that something to be able to do that something else,a wildfire causes jack pine tree cones to be able to disperse seeds,inference_from_rule,,,
715,evaporating is a kind of phase change,condensing is a kind of phase change,evaporating and condensing are both phase change,further_specification_or_conjunction,conjunction,,
716,decreasing soil fertility has a negative impact on plants,plants are a part of the environment,a decrease in soil fertility has a negative impact on environment,substitution,arg_substitution,,
717,arizona mountain king snakes camouflage themselves as a dangerous animal,mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal,arizona mountain king snakes camouflaging themselves is an example of mimicry,init,example,,
718,sound cannot reflect off the surface of a carpet,echo is when sound reflects off a smooth surface,echo will not be produced,init,opposite,,
719,the organism is large enough to be visible,a multicellular organism is large enough to be visible,the organism may be a multicellular organism,infer_class_from_properties,,,
720,an organism having white fur is an adaptation for hiding in white environments,the arctic environment is white in color from being covered in snow,an organism having white fur is an adaptation for hiding in arctic environments,substitution,arg_substitution,,
721,surface mining and logging have negative impacts on the ecosystem,hunting has a negative impact on the ecosystem,surface mining and logging and hunting have negative impacts on the ecosystem,further_specification_or_conjunction,conjunction,,
722,temperature negatively affects how much dissolved oxygen water contains,causing someting to increase / decrease is a positive / negative kind of effect,"as the temperature of water increases, the amount of dissolved oxygen in the water decreases",init,if_then,,
723,ice is a kind of object,ice is cold in temperature,ice is a kind of cold object,further_specification_or_conjunction,further_specification,,
724,wings are a part of all birds,wings are not a part of most mammals,wings are usually a part of birds,init,one_premise_only,,
725,the southern hemisphere is in winter,australia is located in the southern hemisphere,australia is in winter,substitution,,,
726,cell division often causes growth / healing,baby elephant will grow into adult elephant,cell division causes the baby elephant to grow into adult elephant,further_specification_or_conjunction,further_specification,,
727,a rabbit is a kind of organism,an example of camouflage is an organism having the same color as its environment,an example of camouflage is a rabbit having the same color as its environment,substitution,arg_substitution,,
728,to produce something means to form something,a source of something emits / produces / generates / provides that something,a source of something forms that something,substitution,verb_substitution,,
729,the temperature of iron is increased when iron is melting,"as temperature increases , the speed of molecules will increase",the speed of particles in iron increases,inference_from_rule,,,
730,the new moon is when the dark half of the moon faces the earth,the dark half of the moon is not visible,new moon is when the moon cannot be seen,substitution,,,
731,forming fossil fuels requires deposition and burial of decaying plants,if something is required for the formation of fossil fuels then that something helps in the formation of fossil fuels,decaying plants help in the formation of fossil fuels,inference_from_rule,,,
732,aluminum cans are made of aluminum,aluminum is recyclable,aluminum cans are recyclable,property_inheritance,,,
733,coloration can have a positive impact on an animal's ability to reproduce,an adaptation has a positive impact on an animal 's ability to reproduce,coloration is an adaptation for reproduction for animals,further_specification_or_conjunction,further_specification,,
734,winter can cause the climate in an area to become cold,an animal requires warmth for survival,some animals must move to warmer climates in the winter,further_specification_or_conjunction,further_specification,,
735,using less of a resource has a desirable impact on the resource,an impact is a kind of result,using less of a resource is a kind of desirable result for that resource,substitution,arg_substitution,,
736,friction will counter the motion of the moving car,countering the motion of a moving object means decreasing the mechanical energy of the moving object,friction will decrease the mechanical energy of the moving car,substitution,verb_substitution,,
737,some horned lizards live in the desert,a desert is a kind of environment,some horned lizards live in a desert environment,further_specification_or_conjunction,further_specification,,
738,thermal conduction will occur between the hot egg and the cold water,thermal conduction is when heat is transfer from a warmer object to a colder object,the heat will transfer from the hot egg to the cold water,substitution,,,
739,the giant redwood tree would perform photosynthesis to get food,photosynthesis means green plants convert solar energy to food,the giant redwood tree performs photosynthesis to get food by converting solar energy to food,further_specification_or_conjunction,further_specification,,
740,fungi have no chlorophyll and fungi can be multicellular and fungi absorb nutrients from decaying tissue,a fungus is a kind of organism,"fungi are organisms that have no chlorophyll, can be multicellular, and absorb nutrients from decaying tissue",further_specification_or_conjunction,further_specification,,
741,"if something is insoluble in something , then they will remain separated",oil is insoluble in water,oil will remain separated in water,inference_from_rule,,,
742,a fish is a kind of aquatic animal,gills are used for breathing water by aquatic animals,gills are a part of a fish used for breathing water,further_specification_or_conjunction,,,
743,"wildfire can remove the soil nutrients such as phosphorus, nitrogen, and potassium from soil","if the nutrients in soil is removed , then the carrying capacity of soil for plant will be reduced",wildfire can cause the carrying capacity of soil for plant to be reduced,inference_from_rule,,,
744,salt water contains salt,salt water is a kind of water,salt water is a kind of water that contains salt,further_specification_or_conjunction,further_specification,,
745,a desert environment is low in availability of water / availability of food,if a resource is low in availability then it is more likely to be depleted,water is more likely to be depleted in a desert environment,inference_from_rule,,,
746,animals have a negative impact on cacti,if something has a negative impact on an organism then that organism must protect itself from that something,a cactus must protect itself from animals,inference_from_rule,,,
747,to blend into something means ability to be seen decreases when around that something,hiding means ability to be seen decreases for camouflage,to blend into something means to hide in something,substitution,verb_substitution,,
748,water is a kind of substance,"as the temperature of a substance decreases , the molecules in that substance will move slower / closer","as the temperature of water decreases, the molecules in water will move slower",substitution,arg_substitution,,
749,camouflage is used for protection / hiding by prey / animals against predators / from predators,an example of camouflage is an arctic hare and an arctic environment having the same color in the winter,an arctic hare having the same color as an arctic environment is used for hiding from predators,substitution,,,
750,an animal pulling a plow is a kind of learned characteristic,a horse is a kind of animal,a horse pulling a plow is a learned characteristic,substitution,arg_substitution,,
751,copper and zinc are two metals,brass is made of copper and zinc,brass is made of two metals,substitution,arg_substitution,,
752,an animal needs to eat food for nutrients,plants are a source of food for animals,an animal can eat plants for nutrients,substitution,arg_substitution,,
753,an ocean is a kind of body of water,a body of water is a kind of environment,an ocean is a kind of environment,substitution,arg_substitution,,
754,an earthworm does not have an internal skeleton,an invertebrate organism does not have an internal skeleton,an earthworm is a kind of invertebrate organism,infer_class_from_properties,,,
755,echolocation is when some animals detect objects by hearing echoes by emitting sound,an echo must occur in order to be heard,echolocation requires echos to occur,substitution,,,
756,sunlight is a kind of rewnewable resource,wind / wind energy is a renewable / inexhaustible resource,wind and sunlight are kinds of renewable resources,further_specification_or_conjunction,conjunction,,
757,a electron has a negative -1 electric charge,an electron is a kind of charged particle,an electron is a kind of negtively charged particle,further_specification_or_conjunction,further_specification,,
758,an object blocking light causes a shadow,if an object is in the light then that object is blocking the light,if an object is in the light then the object will cause a shadow,substitution,,,
759,fire can cause a leaf to burn,fire is a kind of chemical reaction,burning a leaf with fire is a kind of chemical reaction,further_specification_or_conjunction,further_specification,,
760,"when snow falls in an environment in an environment , that environment will become white",snow falls during the winter in the arctic environment,an arctic environment is white in the winter,inference_from_rule,,,
761,"if the ability to preserve food and to transport food increases, then the available types of food in distant locations will increase",the ability to preserve food and tranport food is part of the transportation technology for food,"if the transportation technology for food increases, then the avilable types of food in distant locations will increase",substitution,,,
762,an environment's climate determines the temperature and precipitation of a location,precipitation can affect the amount of water and sunlight in an environment,an environment's climate determines the temperature and amount of water and sunlight in a location,substitution,,,
763,an electron is a kind of negtively charged particle,electron is the smallest particle in an atom,"electron is the smallest, negtively-charged particle in an atom",further_specification_or_conjunction,conjunction,,
764,an animal 's brain controls that animal,the brain is a part of the central nervous system,an animal's brain is a part of the nervous system that controls that animal,further_specification_or_conjunction,further_specification,,
765,an asteroid is a kind of object,an impact can mean the result of two objects forcibly colliding,an impact can mean the result of an asteroid and another object forcibly colliding,substitution,arg_substitution,,
766,lemonade is made of at least three substances,an mixture is formed by two or more substances combined together physically,lemonade is a kind of mixture,infer_class_from_properties,,,
767,leather is a kind of water-resistant material,if an object is made of a material then that object has the properties of that material,"if shoes are made of leather, then those shoes would be water-resistant",inference_from_rule,,,
768,animals that can move quickly will be able to escape a predator,prarie dogs can run very quickly,running very quickly helps a prarie dog be able to escape a predator,init,,,
769,the student wants to record the data of the growth of a vine over a period of time,a line graph is used for showing change / data over time,a line graph can be used to show the data of the growth of the vine over a period of time,substitution,,,
770,a water molecure is made of 2 hydrogen atoms and 1 oxygen atom,a molecule is made of atoms bonded,a water molecure is made of 2 hydrogen atoms and 1 oxygen atom bonded together,further_specification_or_conjunction,further_specification,,
771,the swelling of bodily tissues can result from infection,the swelling of bodily tissues is a kind of condition,the swelling of bodily tissues is a kind of condition that can result from infection,further_specification_or_conjunction,further_specification,,
772,a material that is soft can be scratched by a material that is hard,a mineral is a kind of material,if one mineral can scratch another mineral then that other mineral is softer than that one mineral,init,if_then,,
773,farming produces food,farming is a kind of process,farming is a process of producing food,further_specification_or_conjunction,further_specification,,
774,carbon dioxide is a kind of gas,baking soda can react chemically with vinegar producing carbon dioxide,baking soda can react chemically with vinegar producing a gas,substitution,arg_substitution,,
775,coal is a kind of fuel,fuel is a kind of energy source,coal is a kind of energy source,substitution,arg_substitution,,
776,food preference is a kind of learned characteristics,learned characteristics are not inherited from parents,food preference is not inherited from parents,substitution,arg_substitution,,
777,burning coal is a source of air pollution,using coal usually requires burning coal,using coal causes air polluiton,substitution,arg_substitution,,
778,fertilization is when a sperm and an egg are fused together,fertilization is when an egg cell becomes fertilized,a fertilized egg is formed by a sperm and an egg fusing together,further_specification_or_conjunction,further_specification,,
779,aluminum is recyclable,recyclable means a material can be recycled / reused many times,aluminum can be recycled,substitution,arg_substitution,,
780,increasing an organism's ability to reproduce has a positive impact on that organism,a plant is a kind of organism,increasing a plant's ability to reproduce has a positive impact on that plant,substitution,arg_substitution,,
781,plants use special tissues or a system of tubes to transport nutrients / water / minerals to the rest of the plant,an animal contains a part that transports nutrients / water / minerals to the whole body,plants and animals both contain parts that transport nutrients throughout the plant / body,further_specification_or_conjunction,conjunction,,
782,the vibration of the particles caused by tapping the fork on a glass is a source of sound,a source of something produces that something,the vibration of the particles caused by tapping the fork on a glass produces sound,substitution,verb_substitution,,
783,"in the water cycle , collection in bodies of water can follow runoff","in the water cycle , runoff can follow precipitation",collection in bodies of water happens after precipitation and runoff,further_specification_or_conjunction,conjunction,,
784,transpiration is when water vapor moves from plants into the atmosphere,clouds are made of water vapor,transpiration transfers the water vapor making up clouds from plants into atmosphere,further_specification_or_conjunction,further_specification,,
785,comparing a property of different objects requires measuring that property for each object,volume is a property of objects,comparing the volume of different objects requires measuring the volume for each object,substitution,arg_substitution,,
786,the skeletal system is used to provide support for animals,the skeletal system can be used for protection,the skeletal system can be used for protection and support,further_specification_or_conjunction,conjunction,,
787,eating a kind of food can prevent a disease,eating / digestion is when an organism takes in nutrients from food into itself by eating,taking in nutrients by eating a kind of food can prevent a disease,substitution,,,
788,offspring can inherit the thickness of the parts of their parents by genetics,a trunk is a part of a pecan tree for supporting the tree,the offspring of a pecan tree can inherit the thickness of its parents' trunk,further_specification_or_conjunction,further_specification,,
789,weathering and erosion are kinds of processes,if something is formed by a process then that something is formed as a result of that process,if something is formed by weathering and erosion then that something is formed as a result of weathering and erosion,substitution,,,
790,forming fossil fuels requires deposition and burial of decaying vegetation,plants are a kind of vegetation,forming fossil fuels requires deposition and burial of decaying plants,substitution,arg_substitution,,
791,producing bad odors is a kind of defense against predators,a skunk produces a bad odor,a skunk produces a bad ordor as a defense against predators,further_specification_or_conjunction,further_specification,,
792,red dwarf stars are cooler in temperature than yellow dwarf stars,the sun is a kind of yellow dwarf,red dwarf stars are cooler than the sun,substitution,,,
793,plants are a source of oxygen through photosynthesis,a source of something produces that something,plants produce oxygen through photosynthesis,substitution,verb_substitution,,
794,ice wedging is a kind of mechanical weathering,ice wedging is when ice causes rocks to crack by expanding in openings,ice wedging causes mechanical weathering by cracking the rocks,further_specification_or_conjunction,further_specification,,
795,a chemical reaction happens between baking soda and vinegar,the mass of the reactants of a chemical reaction equals to the products of the chemical reaction,the mass of baking soda and vinegar is equal to the product of the chemical reaction,substitution,,,
796,an example of a seasonal change is plants dying or becoming dormant in the winter,an animal can eat plants for nutrients,an example of seasonal change is some animals' food dying in the winter,substitution,,,
797,a wolf is a kind of animal,establishing a territory requires keeping other animals away,establishing a territory can require keeping other wolves away,substitution,arg_substitution,,
798,"as the use of a resource decreases, the length of time that that resource will last increases",to last longer means the length of time that something lasts increases,decreasing the use of a resource causes that resource to last longer,inference_from_rule,,,
799,absorbing carbon dioxide from the air is a stage in the photosynthesis process,plants perform photosynthesis,a plant absorbs carbon dioxide from the air to perform photosynthesis,further_specification_or_conjunction,further_specification,,
800,gravity causes orbits,the moon orbits the earth,gravity causes the moon to orbit the earth,further_specification_or_conjunction,further_specification,,
801,thick fur can be used for survival in cold temperatures by keeping warm,winter has cold temperatures,thick fur can be used for survival in winter by keeping warm,substitution,,,
802,a chromosomes of a human contains thousands of genes,chromosomes are located in the cells,a cell of human body contains thousands of genes,substitution,arg_substitution,,
803,animals must find food to get nutrients / energy,finding something requires sensing that something,animals must sense food to find food,substitution,verb_substitution,,
804,hydrogen and oxygen are two elements,water is made of hydrogen and oxygen chemically combined,water is made of two elements,substitution,,,
805,recrystallization is a kind of event,if an event is required for a process then that event must occur before that process can occur,if recrystallization is required for a process then recrystalization must occur before that process can occur,substitution,arg_substitution,,
806,an unknown object and a magnet can both attract a paper clip,the ability to attract a paper clip is a kind of property,the unknown object has the same property as a magnet,property_inheritance,,,
807,the inner core is located in the center of the earth,the pressure at the center of the earth is extremely high,the inner core of the earth is under extremely high pressure,property_inheritance,,,
808,birds sometimes eat other animals,a predator eats other animals for food,some birds are predators,infer_class_from_properties,,,
809,burning something with a lit candle is a kind of chemical reaction,magnesium is a kind of substance,burning magnesium with a lit candle is a kind of chemical reaction,substitution,arg_substitution,,
810,coloration can have a positive impact on an animal's ability to fertilize an egg,animals require fertilization to reproduce,coloration can have a positive impact on an animal's ability to reproduce,substitution,verb_substitution,,
811,animals in the taxonomic group mammal usually have fur,animals in the taxonomic groups fish and amphibian and bird and reptile do not have fur,fur is only part of animals in the taxonomic group mammals,init,opposite,,
812,"as the number of offspring an animal has increases , the number of offspring surviving will increase",some animals have offspring by laying eggs,"as the number of eggs laid by an animal increases , the number of eggs that will hatch will increase",substitution,,,
813,waves will travel at different speed in the mantle and the crust,an earthquake wave is a kind of wave,earthquake waves will travel at different speed in the mantle and the crust,substitution,arg_substitution,,
814,decreasing the use of a resource causes that resource to last longer,a fossil fuel supply is a kind of resource,decreasing the use of a fossil fuel supply causes that fossil fuel supply to last longer,substitution,arg_substitution,,
815,an example of camouflage is organism having the same color as its environment,an arctic hare is a kind of organism,an example of camouflage is an arctic hare having the same color as its environment,substitution,arg_substitution,,
816,nutrients are simpler than food,nutrients are a kind of substance,nutrients are a kind of simple substance,further_specification_or_conjunction,further_specification,,
817,roots are a feature of plants,a tree and grass are both kinds of plants,roots are a feature of both trees and grass,substitution,arg_substitution,,
818,bees use nectar for food,a flower is a source of nectar,a flower is a source of food for bees by producing nectar,further_specification_or_conjunction,further_specification,,
819,shelter and food have positive impact on ants,the acacia provides shelter and food for ants,the acacia providing shelter and food has a positive impact on ants,further_specification_or_conjunction,further_specification,,
820,planting crops is a kind of human activity,planting crops requires growing crops,growing crops is a kind of human activity,substitution,arg_substitution,,
821,earth 's tilt on its rotating axis causes seasons to change / to occur,"when the season changes , the amount of daylight will change",earth's tilt on its rotating axis causes the amout of daylight to change,inference_from_rule,,,
822,a yellow dwarf is a kind of main-sequence star,the sun is a kind of yellow dwarf,the sun is a kind of main-sequence star,substitution,arg_substitution,,
823,relaxing is a kind of movement,a bicep is a kind of muscle,a bicep relaxing is a kind of muscular movement,further_specification_or_conjunction,further_specification,,
824,providing support is a kind of function,a cell wall provides support / protection / shape / structure for a plant cell,the main function of a cell wall is to provide support for a plant cell,further_specification_or_conjunction,further_specification,,
825,mammals give birth to live young,bats give birth to live young,a bat is a kind of mammal,infer_class_from_properties,,,
826,if a rock is made up of small particles of sand with light-colored layers and dark-colored layers then that rock is likely a sedimentary rock,sedimentary rocks are formed by sediment compacting / cementing together,if a rock is made of small particles of sand with ligh-colored layers and dark-colored layers then that rock was likely formed by sediments compacting and cementing together,substitution,,,
827,snow falls during the winter in the arctic environment,"when snow falls in an environment in an environment , that environment will become white",the arctic environment becomes white in the winter,inference_from_rule,,,
828,if something is removed from something else then that something else contained that something,water has salt removed,water that has salt removed contained salt,inference_from_rule,,,
829,an animal is a kind of living thing,a fish is a kind of animal,a fish is a kind of living thing,substitution,arg_substitution,,
830,apparent magnitude is a measure of the brightness of a celestial object / celestial body as observed on earth,a star is a kind of celestial object / celestial body,apparent magnitude is a measure of the brightness of a star as observed on earth,substitution,arg_substitution,,
831,a plant may grow if it soil is provided,burying a plant in soil is a kind of method for providing soil to that plant,a plant may grow if buried in soil,substitution,arg_substitution,,
832,flood is the water that overflows the river bank,a riverbank is made of soil,"when it floods, water will overflow the soil on the river bank",further_specification_or_conjunction,further_specification,,
833,a block is a kind of object,mechanical energy exerted by an object can be used to push or pull another object,mechanical energy exerted by an object can be used to push a block,substitution,arg_substitution,,
834,a large rock is usually heavy in weight,kilogram is usually used to measure heavy objects,kilogram can be used to measure the large rock,substitution,,,
835,larger living things are made up of more cells than smaller living things,growth means size increases,if a living thing grows then the number of cells in that living thing increases,init,if_then,,
836,removing a hot pan from an oven requires a thermal insulator,potholders are used to remove hot pans from an oven,potholders are used as a thermal insulator to remove a hot pan from an oven,further_specification_or_conjunction,further_specification,,
837,a wagon is a kind of object,rolling is a kind of motion,a wagon rolling is an example of an object in motion,init,example,,
838,metal atoms tend to lose electrons,an ion with positive charge is formed by atom losing electrons,metal atoms losing electrons will form ions with positive charge,further_specification_or_conjunction,further_specification,,
839,large canopies / trees block sunlight from reaching the ground,tropical rainforests contain many large trees,sunlight is blocked by large canopies / trees in rainforests,substitution,,,
840,a proton has a positive 1 electric charge,an electron has a negative -1 electric charge,equal numbers of protons and electrons result in a neutral 0 electric charge,init,further_inference,,
841,producing renewable electric energy is a kind of process,if a process requires something that that something may be able to perform that process,if producing renewable electric energy requires something then that something may be able to produce renewable electric energy,substitution,arg_substitution,,
842,the earth revolves around a star,the moon revolves around a planet,the difference between the earth and the moon is that the moon revolves around a planet,further_specification_or_conjunction,conjunction,,
843,a bird is a kind of object,birds usually distance themselves from human,birds are distant objects,further_specification_or_conjunction,further_specification,,
844,snow is cold,snowy means a large amount of snow,a snowy environment is a cold environment,init,one_premise_only,,
845,a lung is a kind of organ for exchanging gasses with the environment,the lungs are a part of the respiratory system,the respiratory system is used for exchanging gasses with the environment,substitution,arg_substitution,,
846,a pine tree is a kind of tree,a tree is a kind of plant,a pine tree is a kind of plant,substitution,arg_substitution,,
847,blubber and fur are used for survival in antarctica,"seals are able to live off the coast of antarctica while frogs, snakes, and pathers are not",seals are able to live off the coast of antarctica because they have fur and blubber,further_specification_or_conjunction,further_specification,,
848,a sex cell of a human contains 23 chromosomes,an egg cell is a kind of sex cell,an egg cell contains 23 chromosomes,substitution,arg_substitution,,
849,green plants provide food for themselves / animals / consumers by performing photosynthesis,to perform a process can mean to use a process,green plants use photosynthesis to provide food for themselves / animals / consumers,substitution,verb_substitution,,
850,fault lines are a source of geothermal energy,active fault lines are common in nevada,geothermal energy is common in nevada,substitution,arg_substitution,,
851,earth as a celestial object has more mass than the moon as a celestial object,less is the opposite of more,the moon as a celestial object has less mass than earth as a celestial object,init,opposite,,
852,producing a bad odor is a kind of method for avoiding predators,avoiding is a kind of defense,producing bad odors is a kind of defense against predators,substitution,verb_substitution,,
853,a paramecium can conjugate,conjugation causes two genetically identical cells to form,a paramecium conjugating causes two genetically identical cells to form,further_specification_or_conjunction,further_specification,,
854,a tree's root growing into a crack in rock is an example of organism causing the weathering,organic weathering means organisms cause the weathering of rocks,a tree's root growing into a crack in rock is an example of organic weathering,substitution,arg_substitution,,
855,if an animal eats another animal then the animal will be the predator and the other animal will be the prey,large birds eat small animals,large birds are predators to small animals and small animals are prey to large birds,inference_from_rule,,,
856,metals usually have higher melting points than nonmetals,metals usually have greater conductivity than nonmetals,metals usually have higher melting points and greater conductivity than nonmetals,further_specification_or_conjunction,conjunction,,
857,a deer lives in a forest,a deer is a kind of animal,deer are a kind of animal that live in a forest,further_specification_or_conjunction,further_specification,,
858,"if something is soluble in something , then that something can be dissolved in something forming a solution",sugar is soluble in water,sugar will dissolve in water and form a solution,inference_from_rule,,,
859,a covering can be used as a kind of protection against cold weather,fur is a covering around the body of an animal,thick fur can be used for keeping warm,substitution,,,
860,soil provides minerals that plants need to grow,soil is a kind of resource,soil is a kind of resource that provides minerals that plants need to grow,further_specification_or_conjunction,further_specification,,
861,the mass of the final product of the baking soda and vinegar will be the same as that of baking soda and vinegar,the mass of vinegar and baking soda is 105 grams,the product of the chemical reaction will be 105 grams,inference_from_rule,,,
862,water absorbing solar energy will increase in heat energy,evaporation of water is when water changes from a liquid into a gas by increasing heat energy,water absorbing solar energy will cause the evaporation of water,substitution,,,
863,algae is an organism found in marine ecosystems,algae is a kind of producer,algae is a kind of producer found in marine ecosystems,further_specification_or_conjunction,further_specification,,
864,a ballon has a shiny metallic appearance,a balloon is a kind of object,a shiny metallic balloon is a kind of object,further_specification_or_conjunction,further_specification,,
865,a flower is a source of pollen,pollen is a food source for bees,a flower is a source of food for bees by producing pollen,further_specification_or_conjunction,further_specification,,
866,digestion of food occurs in the small intestine,some foods contain proteins,digestion of proteins occurs in the small intestine,substitution,arg_substitution,,
867,drought is when available water decreases in an environment,"as the availability of water decreases, the environment will become more dry",drought causes the environment to be dry,substitution,,,
868,senses are an inherited characteristic,hearing is used for sensing sound by animals,hearing is an inherited characteristic,substitution,,,
869,melting is a kind of phase change,phase changes are a kind of physical change,ice melting is a kind of physical change,substitution,arg_substitution,,
870,some birds look like leaves,birds that look like other things are difficult to distinguish from that other thing,some birds are difficult to distinguish from leaves,substitution,,,
871,gills are a part of a fish used for breathing oxygen underwater,an example of an adaptation is something that is used for getting oxygen,gills are a kind of adaptation for getting oxygen underwater,further_specification_or_conjunction,further_specification,,
872,a squid and a rocket engine both produce thrust,producing something is a kind of function,a squid and a rocket engine both perform the function of producing thrust,substitution,verb_substitution,,
873,nitrogen and oxygen make up 99% of the earth's atmosphere by volume,most means over 50% of something,nitrogen and oxygen make up most of the earth's atmosphere,init,further_inference,,
874,algae is usually green in color,algae is a kind of plant,algae is a kind of green plant,further_specification_or_conjunction,further_specification,,
875,a carbonated beverage contains one substance dissolved in another substance,a solution is formed by one substance being dissolved in another substance,a carbonated beverage is a kind of solution,infer_class_from_properties,,,
876,a tropical ocean usually has warm temperatures,coral lives in tropical oceans,coral lives in warm oceans,substitution,,,
877,a larger power source provides more current to an electromagnet,"as the current supplied to an electromagnet increases , the strength of the electromagnet will increase",a larger power source will increase the strength of the electromagnet,substitution,,,
878,a tail is part of a sperm cell and not part of an egg cell,a characteristic is a part of the whole,a tail is a characteristic of a sperm cell but not of an egg cell,substitution,,,
879,plants requires sunlight for survival,sunlight is a kind of energy,plants require energy from sunlight for survival,further_specification_or_conjunction,further_specification,,
880,the digestive system absorbs food into the blood stream,blood is a part of the circulatory system,food is absorbed into the circulatory system through blood,further_specification_or_conjunction,further_specification,,
881,renewable resources may be able to produce renewable electric energy,if something may be able to do something else then that something has the potential to do that something else,renewable resources have the potential to produce renewable electric energy,inference_from_rule,,,
882,the digestive system digests proteins for the body,the small intestine is a part of the digestive system,a small intestine is a part of a human 's digestive system for the digestion of proteins,further_specification_or_conjunction,further_specification,,
883,fallen trees are a kind of dead organism,removing dead organisms from an ecosystem causes available nutrients to be removed from that ecosystem,removing fallen trees from an ecosystem causes available nutrients to be removed from that ecosystem,substitution,arg_substitution,,
884,"if water with a certain temperature contains more / less of something than water with a different temperature, then that temperature positively / negatively affects how much of that something that water contains",warm water contains less dissolved oxygen than cold water,temperature negatively affects how much dissolved oxygen water contains,inference_from_rule,,,
885,if an organism survives competition for resources then this organism will survive / reproduce for natural selection and pass their traits to their offspring,beneficial traits allow organisms to survive competition for resources,natural selection is when organisms with beneficial traits survive competition to reproduce and pass their beneficial traits onto their offispring,inference_from_rule,,,
886,soil erosion can result in desertification of the land,topsoil is a kind of soil,topsoil erosion can result in desertification of the land,substitution,arg_substitution,,
887,natural means grown in nature,made by humans / artificial is the opposite of natural,if something is made by humans then that something is not grown in nature,init,if_then,,
888,the water pipe undergoes a phase change,a phase change is a kind of physical change,the water pipe undergoes a physical change when it freezes,substitution,arg_substitution,,
889,hydrochloric acid combing with zinc forms new substances,chemical reactions cause new substances to form,hydrochloric acid combining with zinc is an example of chemical reaction,init,example,,
890,if a source of something is eliminated then the amount of that something that is produced decreases,a producer is a source of food energy in an ecosystem,if a producer is eliminated then the amount of food energy produced in an ecosystem decreases,substitution,,,
891,cell division causes the baby gorilla to become adult gorilla,cell division increases the number of cells in the body,the number of cells in the adult gorilla is more than the number of cells in the baby gorilla,init,further_inference,,
892,decreasing the use of nonrenewable resources to generate power will decrease greenhouse gasses,"as the use of renewable resources increases , use of nonrenewable resources will decrease",increasing the use of renewable resources to generate power will decrease greenhouse gasses,inference_from_rule,,,
893,plants and animals both contain parts that transport nutrients throughout the plant / body,all plants and animals require nutrients to survive / grow,all plants and animals contain parts that transport nutrients throughtout the plant / body,further_specification_or_conjunction,further_specification,,
894,an animal is a kind of organism,organisms are a part of an environment,animals are a part of the environment,substitution,arg_substitution,,
895,organic compounds mainly are made of carbon / hydrogen / oxygen / nitrogen,hydrogen is a kind of element,hydrogen can be found in organic compounds,init,one_premise_only,,
896,a mouse is a kind of animal,mice live in in holes under the ground in fields / in forests,a mouse is a kind of animal that lives in fields,further_specification_or_conjunction,further_specification,,
897,the sun is the source of solar energy called sunlight,solar energy causes the weather patterns,the sun causes the weather patterns,substitution,,,
